requirement_id,requirement,spec_section,tests,implementation_component,responsibility_role
REQ-001,加密承载,6,CORE-001,QUIC Adapter,Transport Owner
REQ-002,固定帧头,8,"CORE-002,CORE-003",Frame Codec,Wire Format Owner
REQ-003,版本协商,11,"CORE-005,CORE-006,CORE-007",Handshake,Protocol Owner
REQ-004,双向认证,12,"CORE-008,CORE-009",Auth Module,Security Owner
REQ-005,Channel 规则,14,"CORE-011,CORE-012",Channel Manager,Session Owner
REQ-006,副作用去重,15,"CORE-013,CORE-014",Dedupe Store,Application Semantics Owner
REQ-007,Sequence 防重放,8.2,CORE-015,Sequence Tracker,Session Owner
REQ-008,恢复身份绑定,16,"CORE-016,CORE-017,CORE-018",Resume Service,Security Owner
REQ-009,0-RTT 限制,23,CORE-019,Early Data Gate,Security Owner
REQ-010,因果图无环,17,AUDIT-001,Audit Validator,Audit Owner
REQ-011,多信任根,18,FED-006,Trust Engine,Federation Owner
