test_id,profile,level,name,input_condition,expected_result
CORE-001,Core,Mandatory,QUIC ALPN,使用 gfsip/1,成功协商
CORE-002,Core,Mandatory,固定帧头,合法 44-byte 帧头,字段一致
CORE-003,Core,Mandatory,非法 Magic,Magic 非 GFS1,MALFORMED_FRAME
CORE-004,Core,Mandatory,重复 CBOR 键,Header 含重复键,MALFORMED_HEADER
CORE-005,Core,Mandatory,共同版本,双方支持 1.0,选择 1.0
CORE-006,Core,Mandatory,无共同版本,仅支持不同 Major,VERSION_UNSUPPORTED
CORE-007,Core,Mandatory,降级,选择低于共同最高版本,DOWNGRADE_DETECTED
CORE-008,Core,Mandatory,双向认证,凭据有效,进入 ESTABLISHED
CORE-009,Core,Mandatory,认证失败,凭据无效,AUTH_FAILED
CORE-010,Core,Mandatory,过早 DATA,状态非 ESTABLISHED,不交付应用
CORE-011,Core,Mandatory,奇偶规则,Initiator 创建偶数 ID,INVALID_CHANNEL_ID
CORE-012,Core,Mandatory,通道复用,复用已关闭 ID,INVALID_CHANNEL_ID
CORE-013,Core,Mandatory,缺少幂等键,副作用无 key,IDEMPOTENCY_KEY_REQUIRED
CORE-014,Core,Mandatory,重复副作用,同一 key 两次,副作用计数 1
CORE-015,Core,Mandatory,Sequence 重放,重复 Sequence,SEQUENCE_REPLAY
CORE-016,Core,Mandatory,恢复成功,有效令牌和一致状态,恢复原 Session
CORE-017,Core,Mandatory,恢复跨身份,Node 不匹配,RESUME_IDENTITY_MISMATCH
CORE-018,Core,Mandatory,恢复令牌重放,重复旧令牌,RESUME_REPLAY
CORE-019,Core,Mandatory,0-RTT 副作用,EARLY_DATA 修改状态,EARLY_DATA_REJECTED
CORE-020,Core,Mandatory,GOAWAY,收到后新建 Channel,拒绝
CORE-021,Core,Mandatory,帧过大,超过 max_frame,FRAME_TOO_LARGE
CORE-022,Core,Mandatory,解压限制,展开超过限制,DECOMPRESSION_LIMIT
CORE-023,Core,Mandatory,未知可选扩展,critical=false,忽略
CORE-024,Core,Mandatory,未知强制扩展,critical=true,UNSUPPORTED_CRITICAL_EXTENSION
AUDIT-001,Audit,Mandatory,事件自环,父事件包含自身,CAUSAL_CYCLE
AUDIT-002,Audit,Mandatory,父事件上限,超过限制,CAUSAL_PARENT_LIMIT
AUDIT-003,Audit,Mandatory,签名失败,EVENT 签名无效,EVENT_SIGNATURE_FAILED
AUDIT-004,Audit,Mandatory,时间非因果,只有更早时间戳,不得自动增加父事件
FED-001,Federation,Mandatory,Descriptor 验签,有效签名,接受
FED-002,Federation,Mandatory,Descriptor 过期,valid_until 已过,DESCRIPTOR_EXPIRED
FED-003,Federation,Mandatory,路由循环,visited_domains 含自身,ROUTE_LOOP
FED-004,Federation,Mandatory,跳数限制,max_hops=0,ROUTE_HOP_LIMIT
FED-005,Federation,Mandatory,目录失效,外部目录不可用,本域通信继续
FED-006,Federation,Mandatory,多信任根,两个独立根,按本地策略验证
